Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Duration_Years,Number_of_Open_Accounts,Had_Past_Default,Loan_Approval
49.0,103258.0,422.0,13649.0,29,13.0,1,0
40.0,152506.0,609.0,22397.0,23,10.0,0,1
65.0,99347.0,,23185.0,23,14.0,0,1
44.0,39092.0,513.0,26035.0,4,8.0,1,0
41.0,124791.0,706.0,22296.0,6,8.0,1,1
47.0,123048.0,547.0,26087.0,18,7.0,0,0
60.0,121675.0,726.0,36597.0,17,3.0,1,1
61.0,190305.0,521.0,24664.0,12,7.0,1,0
56.0,79872.0,430.0,37295.0,4,10.0,0,0
61.0,79450.0,411.0,22951.0,19,4.0,1,0
53.0,111230.0,371.0,6172.0,10,12.0,1,1
52.0,75886.0,717.0,20900.0,28,,1,1
37.0,109275.0,364.0,35940.0,16,6.0,1,0
34.0,45956.0,,,1,9.0,1,0
67.0,40769.0,560.0,49418.0,24,6.0,1,0
53.0,,587.0,38226.0,10,9.0,0,1
56.0,46858.0,798.0,15465.0,2,9.0,0,1
,195052.0,825.0,20197.0,29,7.0,0,1
29.0,93444.0,581.0,19913.0,16,11.0,1,1
67.0,164555.0,605.0,25264.0,27,11.0,0,1
29.0,108009.0,732.0,23865.0,4,2.0,0,0
,70995.0,619.0,27748.0,18,4.0,1,0
51.0,129151.0,613.0,10614.0,7,12.0,0,0
,74315.0,623.0,41960.0,9,3.0,1,1
61.0,168582.0,713.0,37064.0,8,14.0,1,1
27.0,133845.0,848.0,48615.0,9,12.0,1,0
45.0,46269.0,833.0,9396.0,2,7.0,0,1
21.0,190538.0,539.0,19871.0,3,5.0,1,1
33.0,80610.0,615.0,34879.0,15,8.0,1,0
31.0,163300.0,795.0,27981.0,10,9.0,0,1
18.0,166907.0,326.0,33571.0,13,14.0,1,1
59.0,158284.0,,26466.0,27,14.0,0,1
30.0,131863.0,655.0,43664.0,23,5.0,0,0
50.0,198933.0,804.0,18022.0,22,14.0,1,1
41.0,183399.0,505.0,22936.0,26,5.0,1,1
57.0,37061.0,829.0,22088.0,6,2.0,0,1
48.0,40748.0,601.0,22545.0,17,2.0,1,1
38.0,113822.0,763.0,38098.0,26,7.0,0,1
18.0,147215.0,538.0,26195.0,1,14.0,0,1
62.0,142032.0,442.0,15418.0,16,12.0,0,1
53.0,116607.0,774.0,36454.0,28,9.0,0,0
55.0,53255.0,569.0,35870.0,10,5.0,0,0
20.0,65090.0,718.0,26915.0,19,7.0,1,1
57.0,146689.0,641.0,44855.0,5,11.0,0,1
59.0,126229.0,800.0,23505.0,29,9.0,1,1
21.0,167073.0,469.0,8893.0,4,13.0,0,0
28.0,160168.0,566.0,33987.0,23,14.0,1,1
59.0,34890.0,,20756.0,5,7.0,0,0
51.0,39114.0,339.0,8597.0,9,11.0,0,1
39.0,151530.0,414.0,7428.0,18,3.0,0,1
35.0,35119.0,739.0,34263.0,3,14.0,1,0
67.0,164617.0,659.0,14788.0,2,3.0,1,0
48.0,172003.0,610.0,37060.0,15,4.0,1,0
36.0,64254.0,385.0,25594.0,22,,1,1
45.0,84603.0,802.0,32224.0,15,8.0,1,0
47.0,98784.0,450.0,31843.0,4,11.0,1,1
31.0,150365.0,358.0,21183.0,4,11.0,0,1
36.0,182440.0,624.0,38967.0,6,10.0,1,0
32.0,111139.0,594.0,49249.0,3,1.0,1,1
28.0,140217.0,372.0,8588.0,12,4.0,0,1
48.0,166742.0,362.0,30070.0,17,10.0,0,0
19.0,79151.0,541.0,48824.0,7,2.0,0,0
,59465.0,673.0,25053.0,25,5.0,0,0
,79583.0,789.0,27696.0,10,3.0,0,0
33.0,119306.0,802.0,13004.0,1,3.0,1,0
23.0,65223.0,,30234.0,25,10.0,1,0
65.0,110379.0,765.0,26887.0,25,11.0,0,1
37.0,144633.0,619.0,29109.0,7,6.0,1,0
34.0,71665.0,702.0,40314.0,19,11.0,1,0
28.0,52064.0,619.0,45483.0,9,8.0,1,0
,31305.0,629.0,47992.0,24,14.0,1,0
48.0,34843.0,491.0,19047.0,7,6.0,1,1
21.0,87842.0,495.0,18564.0,25,11.0,1,1
33.0,60430.0,311.0,23780.0,1,,1,1
34.0,191002.0,600.0,29909.0,2,6.0,1,0
65.0,45217.0,807.0,19727.0,23,3.0,0,1
38.0,143587.0,554.0,46784.0,11,4.0,1,1
19.0,191708.0,512.0,5087.0,4,6.0,1,0
20.0,194500.0,648.0,35320.0,22,1.0,0,1
36.0,191228.0,421.0,43969.0,18,6.0,1,0
52.0,47096.0,407.0,42390.0,16,12.0,0,1
51.0,121410.0,632.0,25975.0,2,2.0,0,1
34.0,120135.0,340.0,31867.0,7,2.0,0,1
36.0,48849.0,524.0,6519.0,16,1.0,0,0
60.0,90135.0,633.0,19278.0,7,14.0,1,1
20.0,57374.0,468.0,35873.0,3,8.0,1,1
18.0,167406.0,814.0,12347.0,2,1.0,0,1
33.0,80110.0,779.0,48750.0,20,2.0,1,1
52.0,142504.0,333.0,27467.0,24,2.0,1,1
49.0,194188.0,812.0,5938.0,1,4.0,1,1
59.0,131241.0,627.0,16057.0,29,10.0,1,0
56.0,167066.0,316.0,35017.0,25,7.0,1,0
67.0,168762.0,482.0,20128.0,14,13.0,0,1
57.0,64535.0,474.0,22180.0,26,10.0,0,1
66.0,163223.0,500.0,24576.0,8,1.0,1,0
41.0,90726.0,837.0,47165.0,25,6.0,0,1
59.0,68979.0,597.0,28499.0,20,9.0,1,0
42.0,64238.0,390.0,15747.0,25,4.0,1,0
34.0,32503.0,456.0,10612.0,1,12.0,0,1
48.0,185687.0,332.0,6768.0,14,3.0,0,1
67.0,67395.0,465.0,46300.0,27,13.0,1,1
66.0,65286.0,650.0,21338.0,24,10.0,1,0
22.0,184936.0,673.0,6730.0,12,4.0,1,1
64.0,70252.0,642.0,24652.0,28,3.0,1,1
44.0,65990.0,655.0,29365.0,7,3.0,0,1
29.0,175440.0,425.0,19394.0,25,4.0,0,1
51.0,109021.0,471.0,16704.0,1,14.0,0,1
18.0,127816.0,520.0,47398.0,25,7.0,1,0
28.0,132044.0,471.0,,13,6.0,0,0
65.0,77909.0,590.0,33320.0,3,14.0,1,0
57.0,56346.0,568.0,31650.0,17,2.0,0,0
25.0,117297.0,687.0,,25,14.0,1,0
56.0,65955.0,643.0,15673.0,3,6.0,0,0
28.0,139849.0,423.0,,23,3.0,0,1
54.0,161539.0,377.0,31439.0,8,7.0,1,1
67.0,197320.0,,9062.0,11,3.0,0,1
61.0,149065.0,485.0,25600.0,9,7.0,0,1
38.0,135691.0,505.0,44913.0,25,6.0,0,0
54.0,78339.0,362.0,49524.0,17,10.0,1,0
66.0,118220.0,723.0,46392.0,14,14.0,1,0
24.0,176195.0,806.0,12593.0,1,1.0,1,1
67.0,42458.0,469.0,31670.0,26,11.0,1,0
32.0,174981.0,439.0,28203.0,2,14.0,1,1
51.0,150149.0,599.0,6304.0,28,2.0,1,1
32.0,135253.0,344.0,47709.0,12,8.0,1,1
19.0,83030.0,647.0,25354.0,29,1.0,0,0
30.0,105525.0,416.0,37997.0,14,5.0,0,1
62.0,150846.0,764.0,8742.0,12,13.0,1,1
42.0,113891.0,,49272.0,3,8.0,1,0
53.0,,688.0,46286.0,8,4.0,1,0
59.0,105572.0,456.0,23210.0,15,9.0,1,0
64.0,145052.0,574.0,32354.0,23,13.0,0,0
48.0,169039.0,767.0,45704.0,5,8.0,0,1
30.0,50210.0,748.0,19059.0,9,6.0,0,1
20.0,193427.0,623.0,10762.0,24,4.0,0,1
36.0,120224.0,311.0,42784.0,6,4.0,1,0
31.0,178317.0,397.0,27018.0,23,1.0,0,0
22.0,144148.0,809.0,36027.0,17,7.0,0,0
57.0,89008.0,765.0,34962.0,22,5.0,1,1
20.0,125325.0,388.0,47438.0,26,5.0,0,1
63.0,121892.0,811.0,45166.0,22,5.0,1,0
19.0,141735.0,417.0,48193.0,18,12.0,1,1
65.0,145615.0,744.0,6701.0,10,7.0,0,0
,35931.0,373.0,34664.0,6,7.0,1,1
34.0,54905.0,397.0,42263.0,16,9.0,1,0
43.0,180729.0,519.0,15743.0,4,4.0,0,0
57.0,126975.0,418.0,39524.0,1,12.0,0,1
18.0,139756.0,,6827.0,6,9.0,1,0
54.0,144957.0,822.0,13741.0,2,14.0,0,1
53.0,64314.0,601.0,46569.0,24,11.0,0,1
24.0,61440.0,748.0,38477.0,13,1.0,0,1
37.0,180110.0,324.0,31560.0,18,14.0,1,1
54.0,133043.0,791.0,10421.0,22,3.0,1,1
67.0,52986.0,434.0,16620.0,5,8.0,1,0
26.0,173957.0,433.0,46065.0,22,2.0,0,1
64.0,122092.0,582.0,25103.0,26,8.0,0,1
62.0,158769.0,525.0,43495.0,15,3.0,1,1
64.0,93072.0,674.0,28282.0,11,9.0,1,1
21.0,171856.0,792.0,29850.0,16,12.0,1,1
45.0,190885.0,335.0,34217.0,17,3.0,0,1
46.0,120325.0,648.0,32987.0,26,3.0,0,0
26.0,117294.0,738.0,9162.0,9,5.0,0,0
42.0,147356.0,738.0,36207.0,9,14.0,1,1
48.0,165107.0,508.0,33953.0,8,7.0,0,1
64.0,64550.0,,29462.0,11,1.0,0,1
28.0,113186.0,536.0,13217.0,6,8.0,0,0
30.0,73142.0,383.0,25551.0,10,1.0,1,1
39.0,193969.0,503.0,,25,9.0,0,1
21.0,175717.0,324.0,43987.0,3,9.0,0,0
28.0,108355.0,,29208.0,16,3.0,1,1
52.0,182826.0,653.0,17234.0,26,12.0,1,0
30.0,43174.0,438.0,38559.0,22,6.0,0,1
67.0,98452.0,756.0,44578.0,6,2.0,1,0
49.0,74287.0,451.0,29862.0,2,4.0,0,1
41.0,102376.0,413.0,42315.0,18,8.0,1,1
43.0,192682.0,667.0,17431.0,20,5.0,1,0
,62841.0,507.0,29791.0,22,8.0,0,1
68.0,160167.0,440.0,36354.0,7,5.0,1,1
39.0,34998.0,485.0,39156.0,9,10.0,0,0
62.0,161242.0,800.0,18782.0,9,11.0,1,0
50.0,106411.0,448.0,40365.0,11,7.0,1,0
44.0,129134.0,365.0,21039.0,4,2.0,0,1
31.0,84902.0,407.0,35677.0,9,11.0,0,1
37.0,81167.0,588.0,13818.0,2,2.0,1,1
54.0,53458.0,410.0,47692.0,18,9.0,1,1
,36248.0,716.0,34311.0,15,6.0,0,0
50.0,,785.0,11561.0,14,,0,1
18.0,129911.0,561.0,44717.0,7,9.0,0,1
58.0,58052.0,699.0,9213.0,25,12.0,0,1
33.0,38809.0,680.0,9023.0,2,7.0,1,0
57.0,182711.0,505.0,34981.0,2,11.0,0,0
53.0,117223.0,422.0,31671.0,5,9.0,0,1
20.0,126577.0,620.0,21065.0,6,14.0,1,0
44.0,80675.0,587.0,42829.0,15,3.0,1,1
58.0,142317.0,554.0,49024.0,8,8.0,1,0
42.0,85369.0,840.0,24426.0,23,5.0,0,1
68.0,72637.0,821.0,5252.0,15,7.0,0,0
58.0,139533.0,459.0,6239.0,17,12.0,1,1
30.0,121626.0,317.0,44581.0,17,2.0,1,0
44.0,39559.0,336.0,14132.0,20,3.0,1,0
57.0,195524.0,422.0,11501.0,25,6.0,1,0
64.0,193390.0,455.0,22818.0,17,2.0,1,1
63.0,112589.0,567.0,28636.0,7,1.0,0,0
64.0,63821.0,409.0,6545.0,26,12.0,0,0
25.0,126283.0,696.0,19729.0,22,9.0,1,0
58.0,95085.0,730.0,14953.0,22,9.0,0,1
43.0,50407.0,793.0,49926.0,23,3.0,0,0
26.0,196586.0,475.0,49462.0,23,3.0,0,0
,136878.0,578.0,31415.0,29,10.0,1,1
25.0,89075.0,674.0,6129.0,25,2.0,1,1
69.0,141378.0,386.0,21944.0,17,5.0,0,0
53.0,34939.0,364.0,37236.0,6,10.0,1,1
36.0,180552.0,475.0,38608.0,25,4.0,0,1
68.0,138775.0,447.0,17797.0,19,2.0,1,0
63.0,92052.0,338.0,,1,12.0,1,0
55.0,130511.0,655.0,35291.0,16,8.0,0,0
28.0,124991.0,790.0,14171.0,22,9.0,0,0
24.0,174447.0,431.0,,18,12.0,0,1
54.0,142140.0,,21368.0,22,8.0,1,1
46.0,45748.0,808.0,16220.0,2,3.0,1,0
46.0,57929.0,615.0,9104.0,17,1.0,1,0
28.0,149977.0,511.0,40040.0,2,3.0,1,1
28.0,195113.0,712.0,35993.0,12,5.0,0,1
36.0,117877.0,515.0,18196.0,15,4.0,0,1
62.0,91132.0,446.0,48588.0,26,13.0,0,1
57.0,41300.0,527.0,23128.0,2,8.0,0,1
58.0,140254.0,552.0,30547.0,29,13.0,1,1
43.0,120667.0,343.0,30106.0,19,2.0,1,1
50.0,135365.0,,33625.0,18,4.0,0,0
53.0,88717.0,843.0,28496.0,5,1.0,0,1
,58484.0,375.0,19650.0,9,13.0,0,1
54.0,179968.0,415.0,34579.0,5,12.0,0,0
40.0,192669.0,780.0,24782.0,2,7.0,0,1
48.0,188985.0,698.0,45806.0,12,5.0,1,1
35.0,52981.0,302.0,41836.0,8,10.0,0,1
60.0,100064.0,833.0,34071.0,6,4.0,0,1
26.0,140091.0,403.0,31370.0,7,8.0,0,1
,83405.0,528.0,15632.0,13,5.0,1,0
41.0,181316.0,386.0,43058.0,15,1.0,1,1
61.0,30446.0,613.0,8103.0,10,1.0,1,0
66.0,87327.0,757.0,21060.0,14,13.0,0,1
38.0,159334.0,323.0,21363.0,6,2.0,0,0
48.0,123756.0,524.0,10742.0,6,6.0,0,1
30.0,,667.0,26138.0,4,14.0,1,1
59.0,191348.0,527.0,,26,12.0,1,0
58.0,199407.0,443.0,10940.0,8,8.0,0,0
34.0,113783.0,701.0,46610.0,12,2.0,0,1
50.0,42034.0,,49336.0,5,1.0,0,0
35.0,81704.0,607.0,20845.0,26,4.0,1,0
48.0,173358.0,390.0,14979.0,28,6.0,1,0
48.0,189875.0,704.0,24319.0,26,8.0,1,1
48.0,174336.0,692.0,49201.0,23,1.0,1,0
28.0,179861.0,491.0,10122.0,15,4.0,1,0
56.0,142940.0,,31249.0,14,4.0,0,1
37.0,192985.0,682.0,7614.0,5,3.0,1,0
67.0,185365.0,609.0,7509.0,3,12.0,0,1
63.0,158802.0,352.0,6089.0,4,4.0,0,0
55.0,46274.0,709.0,41921.0,29,13.0,0,0
,165229.0,344.0,8100.0,19,13.0,0,0
23.0,113293.0,628.0,29857.0,5,9.0,0,1
61.0,56547.0,,49935.0,19,11.0,1,0
53.0,145128.0,,19075.0,18,12.0,0,1
47.0,198991.0,809.0,47006.0,18,13.0,1,0
46.0,194733.0,817.0,17076.0,20,9.0,0,0
18.0,60764.0,347.0,24550.0,12,1.0,1,1
28.0,59216.0,799.0,5523.0,11,6.0,1,1
41.0,123396.0,385.0,46272.0,29,2.0,0,0
43.0,170987.0,525.0,34733.0,15,4.0,0,1
32.0,69353.0,301.0,22872.0,22,12.0,1,0
36.0,35351.0,653.0,16346.0,28,8.0,0,1
60.0,62066.0,602.0,49817.0,11,13.0,0,1
62.0,130888.0,691.0,37797.0,29,3.0,0,1
54.0,161207.0,778.0,6286.0,27,9.0,1,1
67.0,48377.0,838.0,31408.0,15,4.0,1,1
65.0,77844.0,833.0,25210.0,24,8.0,1,1
60.0,59642.0,827.0,24319.0,10,10.0,1,1
60.0,42363.0,572.0,29573.0,5,10.0,0,0
29.0,189102.0,446.0,6318.0,7,11.0,1,1
51.0,146553.0,529.0,37596.0,25,5.0,1,0
32.0,161621.0,598.0,40806.0,14,2.0,0,0
48.0,96667.0,364.0,42522.0,8,10.0,1,1
45.0,40038.0,410.0,47488.0,7,5.0,1,1
,55489.0,778.0,21440.0,5,7.0,0,1
21.0,126262.0,757.0,45539.0,13,11.0,0,0
50.0,106730.0,411.0,44970.0,16,8.0,0,1
25.0,140478.0,669.0,10458.0,7,1.0,1,1
,98779.0,655.0,9215.0,3,10.0,0,1
64.0,139603.0,694.0,41041.0,13,5.0,1,1
38.0,31311.0,808.0,36858.0,4,6.0,0,0
61.0,75003.0,375.0,18079.0,5,10.0,1,0
55.0,195142.0,768.0,45623.0,13,3.0,1,1
18.0,51995.0,346.0,33663.0,2,6.0,0,0
27.0,95374.0,513.0,31975.0,3,8.0,0,1
45.0,143658.0,363.0,27708.0,16,5.0,0,0
47.0,43956.0,717.0,35269.0,14,2.0,0,0
57.0,33405.0,499.0,16529.0,23,2.0,0,0
22.0,165214.0,333.0,16295.0,1,2.0,1,1
30.0,167368.0,704.0,23854.0,24,13.0,1,1
62.0,68396.0,439.0,26560.0,13,10.0,1,0
53.0,32066.0,498.0,36324.0,9,6.0,0,1
58.0,42870.0,817.0,11829.0,2,12.0,0,0
34.0,190082.0,816.0,45749.0,11,7.0,1,0
52.0,65265.0,823.0,15053.0,22,14.0,1,1
47.0,57959.0,580.0,40426.0,10,9.0,0,1
23.0,168055.0,405.0,38318.0,9,1.0,1,0
52.0,37660.0,643.0,30925.0,13,9.0,1,1
39.0,97851.0,506.0,12532.0,2,3.0,1,0
43.0,39443.0,395.0,5167.0,6,6.0,1,1
23.0,88713.0,439.0,13927.0,26,10.0,1,0
48.0,197289.0,569.0,46538.0,24,6.0,0,0
41.0,132049.0,626.0,15000.0,19,2.0,1,1
32.0,166282.0,843.0,28200.0,25,5.0,0,0
45.0,68363.0,494.0,47451.0,12,4.0,1,0
43.0,63549.0,622.0,23273.0,10,6.0,0,1
,173993.0,594.0,,28,12.0,1,0
48.0,107145.0,359.0,9547.0,8,2.0,0,1
19.0,153336.0,714.0,8317.0,4,2.0,1,0
44.0,35171.0,732.0,21242.0,25,3.0,1,0
30.0,98625.0,698.0,47037.0,19,1.0,1,0
55.0,179538.0,446.0,48327.0,20,10.0,1,1
19.0,174143.0,765.0,18694.0,14,6.0,1,0
59.0,177773.0,334.0,5464.0,12,9.0,0,1
59.0,181503.0,597.0,38294.0,13,13.0,0,0
68.0,131671.0,713.0,16754.0,13,11.0,1,1
23.0,168765.0,708.0,28086.0,13,4.0,0,1
29.0,175991.0,623.0,40828.0,27,11.0,0,1
63.0,141870.0,585.0,36305.0,27,3.0,1,0
62.0,69099.0,573.0,48978.0,19,1.0,0,1
21.0,,833.0,28464.0,15,14.0,1,0
22.0,132534.0,382.0,8893.0,18,10.0,0,0
51.0,178162.0,670.0,19036.0,29,13.0,1,0
32.0,54111.0,394.0,5143.0,29,4.0,1,1
20.0,171753.0,660.0,24482.0,18,9.0,1,1
50.0,145421.0,369.0,37815.0,5,4.0,1,1
,182514.0,391.0,25354.0,14,14.0,1,0
66.0,167757.0,350.0,6920.0,6,10.0,0,0
31.0,179532.0,546.0,25998.0,16,9.0,1,1
45.0,99742.0,340.0,26184.0,16,3.0,1,0
58.0,82766.0,604.0,28301.0,13,1.0,0,0
57.0,180295.0,481.0,6402.0,9,2.0,1,0
41.0,77552.0,522.0,32612.0,10,3.0,1,1
52.0,55063.0,608.0,41821.0,11,7.0,1,0
62.0,133689.0,610.0,34555.0,13,11.0,0,0
62.0,44467.0,396.0,22697.0,29,9.0,1,0
62.0,93896.0,510.0,20973.0,7,9.0,1,1
36.0,61295.0,505.0,30084.0,22,9.0,1,0
60.0,53071.0,754.0,36611.0,12,9.0,0,1
32.0,64527.0,516.0,7719.0,8,11.0,0,1
32.0,42133.0,392.0,22543.0,16,9.0,1,0
60.0,121566.0,788.0,30245.0,6,1.0,1,0
,198775.0,603.0,11187.0,5,11.0,0,1
29.0,172120.0,690.0,11399.0,15,2.0,1,0
67.0,179157.0,574.0,11186.0,24,14.0,0,1
36.0,101362.0,676.0,31661.0,1,7.0,0,1
48.0,119316.0,610.0,19182.0,8,12.0,0,0
41.0,35106.0,428.0,30113.0,27,1.0,1,1
67.0,70948.0,811.0,16671.0,27,14.0,1,0
43.0,148868.0,456.0,41051.0,20,10.0,1,0
50.0,123672.0,789.0,43297.0,15,11.0,0,1
18.0,33790.0,514.0,24599.0,23,9.0,0,1
57.0,147002.0,824.0,31105.0,17,14.0,1,1
65.0,57047.0,534.0,20107.0,4,9.0,1,0
38.0,183499.0,709.0,17810.0,18,4.0,0,1
62.0,35527.0,723.0,28509.0,22,8.0,0,0
25.0,,427.0,41861.0,2,8.0,1,0
64.0,119924.0,756.0,41188.0,19,10.0,1,1
18.0,51597.0,446.0,42697.0,13,11.0,1,1
58.0,114372.0,661.0,24860.0,10,12.0,1,0
21.0,74147.0,457.0,18228.0,13,1.0,1,1
30.0,133641.0,787.0,40740.0,15,6.0,0,0
62.0,55646.0,483.0,46717.0,25,7.0,0,0
59.0,108394.0,480.0,13713.0,28,6.0,1,1
47.0,73311.0,703.0,17648.0,1,1.0,0,0
29.0,,391.0,20372.0,26,1.0,1,0
22.0,81898.0,826.0,7023.0,12,4.0,0,0
34.0,186231.0,467.0,,21,10.0,1,0
39.0,126227.0,315.0,17667.0,27,14.0,1,0
28.0,64224.0,586.0,32922.0,21,14.0,0,1
69.0,114431.0,,35215.0,16,14.0,1,0
64.0,51210.0,373.0,12843.0,23,7.0,0,0
69.0,57910.0,746.0,40339.0,19,3.0,1,1
29.0,44858.0,302.0,36670.0,2,9.0,0,0
26.0,95443.0,405.0,40915.0,7,2.0,1,1
37.0,174546.0,660.0,31600.0,20,14.0,0,1
66.0,114880.0,839.0,11489.0,5,11.0,1,1
38.0,199900.0,551.0,36755.0,8,8.0,0,1
36.0,160109.0,476.0,16023.0,17,4.0,1,0
44.0,109471.0,442.0,39163.0,29,2.0,1,1
54.0,80666.0,319.0,11138.0,18,3.0,0,0
44.0,30179.0,432.0,36902.0,1,5.0,1,0
23.0,160610.0,827.0,11951.0,16,7.0,1,1
26.0,65222.0,395.0,47772.0,16,1.0,0,0
31.0,117244.0,309.0,47010.0,16,9.0,1,0
28.0,129154.0,661.0,28112.0,5,14.0,0,0
56.0,131721.0,316.0,19966.0,11,1.0,1,0
67.0,157320.0,545.0,18722.0,23,14.0,0,1
46.0,119465.0,369.0,38646.0,10,9.0,0,0
47.0,39576.0,301.0,24181.0,8,10.0,0,0
18.0,104071.0,323.0,48286.0,20,6.0,1,0
32.0,112101.0,696.0,45370.0,23,1.0,1,0
32.0,121615.0,324.0,36627.0,8,9.0,0,0
61.0,58399.0,597.0,26082.0,17,1.0,0,0
19.0,90802.0,765.0,26336.0,6,12.0,0,0
,157818.0,797.0,47995.0,13,1.0,1,0
52.0,86848.0,526.0,9372.0,1,12.0,1,1
30.0,70148.0,556.0,34820.0,2,1.0,1,1
60.0,74585.0,534.0,49714.0,24,4.0,1,1
23.0,187310.0,824.0,31376.0,17,,1,1
,,843.0,45913.0,23,3.0,1,0
44.0,143951.0,792.0,47034.0,28,9.0,1,0
51.0,110641.0,759.0,46899.0,21,5.0,1,0
60.0,166460.0,728.0,47945.0,29,8.0,0,0
37.0,132852.0,799.0,14854.0,9,10.0,0,0
40.0,80901.0,831.0,42640.0,17,7.0,1,1
59.0,91189.0,783.0,17073.0,10,5.0,1,1
30.0,116502.0,349.0,26216.0,20,9.0,1,1
63.0,108525.0,625.0,11660.0,24,1.0,0,0
,85323.0,605.0,23330.0,16,5.0,1,1
66.0,55288.0,671.0,21231.0,6,9.0,1,0
58.0,131111.0,758.0,48011.0,26,14.0,0,0
66.0,90916.0,406.0,36839.0,24,7.0,1,0
59.0,61491.0,,6182.0,9,6.0,1,0
27.0,198093.0,392.0,21268.0,11,7.0,0,0
